price_in_rp,district,city,bedrooms,bathrooms,building_size_m2,land_size_m2,certificate,furnishing,city_encoded,district_encoded,certificate_encoded,furnishing_encoded
1300000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.2564102564102564,-0.2840909090909091,SHM,Unfurnished,0,34,1,0
819000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.4444444444444444,-0.45454545454545453,SHM,Unfurnished,0,32,1,0
1435000000,Bekasi Selatan,Kota Bekasi,0.0,0.0,-0.4700854700854701,-0.17045454545454544,SHM,Unfurnished,0,4,1,0
3400000000,Bekasi Selatan,Kota Bekasi,0.0,1.0,1.7094017094017093,0.8068181818181818,SHM,Unfurnished,0,4,1,0
1280000000,Pondokmelati (Pondok Melati),Kota Bekasi,0.0,0.0,-0.17094017094017094,-0.1590909090909091,HGB,Unfurnished,0,69,0,0
1450000000,Bekasi Barat,Kota Bekasi,0.0,1.0,0.1282051282051282,-0.17045454545454544,SHM,Unfurnished,0,3,1,0
994000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.3076923076923077,-0.3977272727272727,SHM,Unfurnished,0,34,1,0
350000000,Bekasi Utara,Kota Bekasi,-1.0,-1.0,-0.5982905982905983,-0.5113636363636364,SHM,Unfurnished,0,6,1,0
1200000000,Medansatria (Medan Satria),Kota Bekasi,2.0,0.0,-0.17094017094017094,0.3409090909090909,SHM,Unfurnished,0,54,1,0
750000000,Pondokgede (Pondok Gede),Kota Bekasi,0.0,0.0,-0.2564102564102564,-0.5113636363636364,SHM,Unfurnished,0,68,1,0
490000000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.6153846153846154,-0.3068181818181818,SHM,Unfurnished,0,56,1,0
885000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.29914529914529914,-0.25,SHM,Unfurnished,0,32,1,0
780000000,Medansatria (Medan Satria),Kota Bekasi,0.0,0.0,0.1282051282051282,0.03409090909090909,SHM,Unfurnished,0,54,1,0
1280000000,Medansatria (Medan Satria),Kota Bekasi,0.0,0.0,-0.08547008547008547,-0.17045454545454544,SHM,Unfurnished,0,54,1,0
1300000000,Medansatria (Medan Satria),Kota Bekasi,-1.0,1.0,-0.08547008547008547,0.6022727272727273,SHM,Unfurnished,0,54,1,0
741770000,Rawalumbu,Kota Bekasi,0.0,0.0,-0.7350427350427351,-0.5113636363636364,SHM,Unfurnished,0,71,1,0
1100000000,Medansatria (Medan Satria),Kota Bekasi,0.0,-1.0,0.008547008547008548,0.18181818181818182,SHM,Unfurnished,0,54,1,0
970000000,Bekasi Utara,Kota Bekasi,0.0,0.0,-0.2564102564102564,0.17045454545454544,SHM,Unfurnished,0,6,1,0
512500000,Jatiasih,Kota Bekasi,-1.0,-1.0,-0.6837606837606838,-0.5113636363636364,SHM,Unfurnished,0,32,1,0
850000000,Bekasi Barat,Kota Bekasi,0.0,0.0,-0.10256410256410256,-0.3977272727272727,SHM,Unfurnished,0,3,1,0
475000000,Bekasi Utara,Kota Bekasi,0.0,0.0,-0.41025641025641024,0.03409090909090909,SHM,Unfurnished,0,6,1,0
500000000,Bekasi Utara,Kota Bekasi,0.0,0.0,-0.4017094017094017,-0.5113636363636364,SHM,Unfurnished,0,6,1,0
1180000000,Bekasi Utara,Kota Bekasi,0.0,0.0,-0.5128205128205128,-0.375,SHM,Unfurnished,0,6,1,0
1082500000,Jatiasih,Kota Bekasi,0.0,0.0,-0.42735042735042733,-0.25,SHM,Unfurnished,0,32,1,0
425000000,Jatiasih,Kota Bekasi,-1.0,-1.0,-0.5982905982905983,-0.19318181818181818,SHM,Unfurnished,0,32,1,0
1400000000,Medansatria (Medan Satria),Kota Bekasi,1.0,2.0,0.2564102564102564,0.07954545454545454,SHM,Unfurnished,0,54,1,0
1415000000,Pondokmelati (Pondok Melati),Kota Bekasi,0.0,0.0,-0.29914529914529914,-0.375,HGB,Unfurnished,0,69,0,0
978450000,Rawalumbu,Kota Bekasi,0.0,0.0,-0.5641025641025641,-0.5113636363636364,SHM,Unfurnished,0,71,1,0
825000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.47863247863247865,-0.38636363636363635,SHM,Unfurnished,0,32,1,0
690000000,Bekasi Utara,Kota Bekasi,-1.0,-1.0,-0.5213675213675214,-0.5113636363636364,SHM,Unfurnished,0,6,1,0
746850000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.717948717948718,-0.5113636363636364,SHM,Unfurnished,0,56,1,0
1950000000,Medansatria (Medan Satria),Kota Bekasi,1.0,0.0,0.6837606837606838,0.2159090909090909,SHM,Unfurnished,0,54,1,0
